iter	Passed	Remaining
0	254	203611
1	515	205794
2	592	157320
3	711	141493
4	816	12985255	990	13103166	1224	138729
7	1383	136938
8	1580	138894
9	1754	138597
10	1928	138328
11	2061	135351
12	2134	129191113	2188	122862
14	2233	116869
15	2274	111463
16	2305	106180
17	2345	101896
18	2383	97986
19	2422	94465
20	2458	91199
21	2503	88517
22	2547	86057
23	2603	84194
24	2713	84126
25	2794	83185
26	2932	83966
27	2979	82154
28	3028	80506
29	3068	78758
30	3097	76834
31	3121	74922
32	3139	72976
33	3162	71246
34	3184	69612
35	3208	68100
36	3232	66656
37	3252	65224
38	3270	63818
39	3302	62750
40	3342	61870
41	3373	60891
42	3409	60031
43	3440	59116
44	3474	58287
45	3500	57384
46	3533	56616
47	3562	55807
48	3601	55192
49	3632	54484
50	3682	54083
51	3727	53625
52	3777	53236
53	3810	52638
54	3840	52014
55	3859	51281
56	3905	50912
57	3985	50992
58	4138	51980
59	4179	51544
60	4200	50889
61	4251	50611
62	4277	50044
63	4305	49511
64	4336	49031
65	4371	48621
66	4394	48078
67	4414	47520
68	4446	47104
69	4467	46592
70	4489	46100
71	4523	45735
72	4546	45280
73	4568	44823
74	4600	44471
75	4633	44136
76	4662	43777
77	4693	43446
78	4715	43038
79	4737	42640
80	4757	42228
81	4783	41886
82	4807	41530
83	4828	41154
84	4854	40838
85	4875	40478
86	4896	40125
87	4923	39832
88	4946	39519
89	4982	39306
90	5017	39094
91	5069	39013
92	5106	38822
93	5131	38538
94	5177	38424
95	5207	38191
96	5239	37973
97	5268	37737
98	5294	37490
99	5317	37219
100	5344	36985
101	5366	36724
102	5391	36483
103	5427	36320
104	5482	36289
105	5525	36178
106	5546	35923
107	5574	35716
108	5595	35470
109	5613	35210
110	5633	34966
111	5654	34735
112	5679	34531
113	5723	34443
114	5751	34261
115	5779	34076
116	5855	34181
117	5889	34039
118	5927	33919
119	5960	33777
120	5982	33570
121	6005	33377
122	6028	33180
123	6056	33019
124	6097	32926
125	6263	33507
126	6342	33611
127	6395	33578
128	6435	33475
129	6475	33375
130	6499	33192
131	6558	33189
132	6588	33041
133	6616	32887
134	6682	32919
135	6702	32725
136	6720	32521
137	6741	32341
138	6761	32154
139	6788	32004
140	6812	31837
141	6835	31673
142	6854	31493
143	6886	31371
144	6912	31227
145	6936	31069
146	6958	30911
147	6978	30742
148	7000	30585
149	7021	30426
150	7040	30258
151	7059	30093
152	7077	29930
153	7098	29775
154	7125	29650
155	7142	29485
156	7160	29324
157	7186	29202
158	7203	29041
159	7220	28882
160	7237	28726
161	7256	28578
162	7274	28429
163	7292	28279
164	7309	28128
165	7330	27998
166	7349	27857
167	7369	27722
168	7390	27595
169	7409	27458
170	7428	27325
171	7448	27197
172	7468	27067
173	7491	26950
174	7513	26833
175	7554	26782
176	7591	26721
177	7620	26628
178	7650	26542
179	7671	26423
180	7695	26317
181	7716	26201
182	7734	26076
183	7765	25996
184	7781	25868
185	7805	25767
186	7851	25737
187	7892	25693
188	7929	25634
189	7964	25570
190	7990	25476
191	8050	25494
192	8096	25463
193	8140	25429
194	8181	25384
195	8203	25279
196	8227	25182
197	8263	25125
198	8287	25028
199	8310	24932
200	8331	24828
201	8363	24758
202	8387	24666
203	8407	24561
204	8430	24469
205	8449	24364
206	8466	24254
207	8492	24170
208	8515	24079
209	8539	23992
210	8565	23910
211	8591	23828
212	8615	23742
213	8639	23656
214	8658	23558
215	8683	23476
216	8705	23387
217	8725	23295
218	8744	23198
219	8764	23105
220	8788	23025
221	8808	22933
222	8828	22842
223	8847	22750
224	8870	22670
225	8895	22592
226	8918	22513
227	8942	22434
228	8993	22424
229	9027	22372
230	9060	22318
231	9083	22238
232	9117	22188
233	9140	22108
234	9161	22026
235	9181	21943
236	9201	21858
237	9222	21778
238	9241	21693
239	9268	21625
240	9301	21574
241	9327	21506
242	9357	21448
243	9383	21383
244	9404	21303
245	9426	21228
246	9451	21161
247	9491	21126
248	9523	21075
249	9600	21120
250	9648	21103
251	9739	21179
252	9777	21139
253	9808	21083
254	9830	21009
255	9849	20930
256	9866	20847
257	9885	20768
258	9901	20682
259	9919	20601
260	9937	20521
261	9953	20439
262	9972	20362
263	9989	20282
264	10015	20219
265	10034	20144
266	10054	20072
267	10074	19999
268	10102	19941
269	10122	19870
270	10144	19801
271	10164	19731
272	10186	19663
273	10205	19592
274	10225	19520
275	10248	19456
276	10269	19390
277	10290	19323
278	10313	19260
279	10330	19185
280	10353	19121
281	10369	19047
282	10391	18983
283	10413	18919
284	10433	18853
285	10451	18783
286	10468	18711
287	10485	18640
288	10506	18576
289	10525	18509
290	10542	18440
291	10558	18369
292	10578	18304
293	10596	18237
294	10617	18175
295	10637	18112
296	10658	18051
297	10677	17986
298	10694	17919
299	10715	17858
300	10734	17795
301	10754	17734
302	10771	17668
303	10791	17606
304	10810	17544
305	10828	17480
306	10846	17417
307	10864	17355
308	10881	17290
309	10899	17227
310	10916	17164
311	10933	17101
312	10952	17040
313	10970	16979
314	10986	16916
315	11004	16854
316	11023	16796
317	11040	16734
318	11058	16674
319	11077	16615
320	11092	16551
321	11108	16489
322	11127	16432
323	11148	16378
324	11169	16324
325	11187	16266
326	11206	16209
327	11225	16153
328	11245	16098
329	11266	16046
330	11285	15991
331	11303	15934
332	11322	15879
333	11344	15827
334	11364	15774
335	11381	15717
336	11398	15660
337	11417	15605
338	11434	15549
339	11451	15493
340	11473	15443
341	11491	15389
342	11509	15334
343	11527	15280
344	11545	15226
345	11562	15171
346	11579	15116
347	11595	15061
348	11613	15008
349	11631	14954
350	11647	14899
351	11664	14845
352	11681	14791
353	11696	14736
354	11715	14685
355	11736	14637
356	11757	14589
357	11776	14539
358	11800	14496
359	11840	14471
360	11917	14492
361	11945	14452
362	12013	14462
363	12033	14413
364	12053	14364
365	12071	14314
366	12090	14264
367	12112	14218
368	12132	14171
369	12152	14123
370	12172	14075
371	12191	14027
372	12212	13980
373	12233	13934
374	12255	13889
375	12274	13841
376	12289	13788
377	12305	13737
378	12323	13689
379	12337	13636
380	12354	13586
381	12371	13536
382	12387	13487
383	12405	13438
384	12422	13390
385	12439	13341
386	12471	13309
387	12497	13270
388	12515	13223
389	12534	13176
390	12553	13131
391	12572	13085
392	12598	13046
393	12618	13002
394	12637	12957
395	12656	12911
396	12675	12867
397	12695	12823
398	12722	12785
399	12741	12741
400	12763	12699
401	12781	12654
402	12799	12609
403	12816	12563
404	12832	12515
405	12850	12471
406	12869	12426
407	12888	12383
408	12905	12337
409	12920	12290
410	12936	12243
411	12952	12197
412	12967	12151
413	12983	12105
414	12999	12059
415	13021	12019
416	13048	11984
417	13081	11954
418	13105	11916
419	13128	11877
420	13151	11839
421	13173	11799
422	13192	11757
423	13211	11715
424	13228	11671
425	13244	11627
426	13261	11584
427	13282	11544
428	13298	11500
429	13318	11459
430	13335	11417
431	13350	11372
432	13369	11331
433	13386	11289
434	13406	11249
435	13428	11210
436	13452	11174
437	13472	11135
438	13493	11096
439	13510	11054
440	13528	11013
441	13544	10970
442	13564	10930
443	13587	10894
444	13606	10854
445	13626	10815
446	13644	10775
447	13661	10734
448	13679	10693
449	13695	10652
450	13715	10613
451	13734	10574
452	13751	10534
453	13768	10492
454	13783	10451
455	13804	10413
456	13820	10372
457	13835	10331
458	13853	10291
459	13869	10251
460	13887	10211
461	13906	10174
462	13923	10134
463	13939	10094
464	13954	10053
465	13970	10013
466	13990	9975
467	14026	9950
468	14099	9950
469	14182	9958
470	14357	10029
471	14387	9998
472	14408	9960
473	14434	9927
474	14461	9894
475	14492	9864
476	14515	9829
477	14569	9814
478	14594	9780
479	14622	9748
480	14649	9715
481	14680	9685
482	14700	9648
483	14720	9610
484	14739	9573
485	14764	9539
486	14785	9502
487	14810	9468
488	14835	9435
489	14862	9402
490	14894	9373
491	14944	9355
492	14975	9325
493	15021	9305
494	15056	9277
495	15095	9252
496	15125	9221
497	15151	9188
498	15177	9155
499	15210	9126
500	15242	9096
501	15267	9063
502	15293	9030
503	15313	8993
504	15335	8958
505	15357	8923
506	15381	8889
507	15412	8859
508	15442	8828
509	15462	8792
510	15497	8765
511	15530	8736
512	15560	8705
513	15585	8672
514	15614	8640
515	15655	8616
516	15688	8587
517	15729	8563
518	15762	8534
519	15797	8506
520	15832	8478
521	15868	8451
522	16089	8521
523	16211	8539
524	16251	8512
525	16306	8494
526	16356	8473
527	16388	8442
528	16412	8407
529	16442	8376
530	16547	8382
531	16600	8362
532	16633	8332
533	16683	8310
534	16770	8307
535	16805	8277
536	16886	8270
537	17007	8282
538	17088	8274
539	17154	8259
540	17206	8237
541	17276	8223
542	17317	8196
543	17375	8176
544	17399	8141
545	17467	8125
546	17518	8102
547	17555	8072
548	17590	8042
549	17618	8008
550	17640	7971
551	17661	7934
552	17690	7901
553	17712	7865
554	17730	7826
555	17747	7788
556	17765	7750
557	17779	7710
558	17805	7676
559	17821	7637
560	17862	7609
561	17913	7586
562	17938	7551
563	17970	7519
564	18002	7487
565	18018	7449
566	18064	7423
567	18113	7398
568	18147	7367
569	18179	7335
570	18206	7301
571	18223	7263
572	18244	7227
573	18270	7193
574	18291	7157
575	18314	7122
576	18341	7088
577	18360	7052
578	18382	7016
579	18404	6981
580	18428	6946
581	18452	6911
582	18471	6875
583	18489	6838
584	18506	6801
585	18540	6770
586	18565	6736
587	18590	6702
588	18614	6668
589	18633	6632
590	18656	6597
591	18680	6563
592	18704	6529
593	18734	6497
594	18762	6464
595	18787	6430
596	18811	6396
597	18841	6364
598	18868	6331
599	18890	6296
600	18908	6260
601	18922	6223
602	18956	6193
603	18987	6161
604	19012	6128
605	19039	6095
606	19073	6064
607	19095	6030
608	19112	5994
609	19135	5960
610	19165	5928
611	19202	5898
612	19234	5867
613	19256	5833
614	19277	5798
615	19293	5762
616	19318	5729
617	19334	5694
618	19359	5660
619	19378	5626
620	19397	5591
621	19425	5559
622	19473	5532
623	19492	5497
624	19510	5462
625	19530	5428
626	19549	5394
627	19570	5359
628	19595	5327
629	19620	5294
630	19651	5263
631	19680	5231
632	19700	5197
633	19722	5163
634	19739	5129
635	19804	5106
636	19832	5074
637	19877	5047
638	19937	5023
639	19967	4991
640	19985	4957
641	20031	4929
642	20046	4894
643	20069	4861
644	20090	4827
645	20105	4793
646	20131	4760
647	20172	4731
648	20212	4702
649	20290	4682
650	20364	4661
651	20412	4633
652	20451	4603
653	20500	4576
654	20551	4549
655	20594	4520
656	20640	4492
657	20692	4465
658	20734	4436
659	20767	4405
660	20805	4375
661	20866	4349
662	20906	4320
663	20939	4288
664	20967	4256
665	21032	4231
666	21063	4199
667	21099	4169
668	21140	4139
669	21163	4106
670	21197	4075
671	21230	4043
672	21260	4012
673	21284	3979
674	21309	3946
675	21353	3916
676	21375	3883
677	21431	3856
678	21498	3831
679	21559	3804
680	21590	3772
681	21615	3739
682	21641	3707
683	21680	3676
684	21711	3645
685	21739	3612
686	21765	3579
687	21809	3550
688	21856	3521
689	21910	3492
690	21980	3467
691	22049	3441
692	22150	3420
693	22179	3387
694	22216	3356
695	22257	3325
696	22288	3293
697	22339	3264
698	22383	3234
699	22413	3201
700	22434	3168
701	22463	3135
702	22493	3103
703	22514	3070
704	22539	3037
705	22584	3006
706	22630	2976
707	22685	2947
708	22740	2918
709	22774	2886
710	22809	2855
711	22878	2827
712	22900	2794
713	22924	2761
714	22953	2728
715	22995	2697
716	23054	2668
717	23096	2637
718	23127	2605
719	23147	2571
720	23199	2541
721	23255	2512
722	23309	2482
723	23359	2452
724	23393	2419
725	23428	2388
726	23470	2356
727	23526	2326
728	23587	2297
729	23636	2266
730	23714	2238
731	23785	2209
732	23833	2178
733	23953	2153
734	23975	2120
735	24002	2087
736	24020	2053
737	24043	2019
738	24070	1986
739	24093	1953
740	24127	1921
741	24141	1887
742	24169	1854
743	24200	1821
744	24228	1788
745	24252	1755
746	24278	1722
747	24299	1689
748	24321	1656
749	24340	1622
750	24378	1590
751	24396	1557
752	24413	1523
753	24474	1493
754	24497	1460
755	24522	1427
756	24536	1393
757	24558	1360
758	24583	1327
759	24609	1295
760	24625	1262
761	24653	1229
762	24669	1196
763	24688	1163
764	24716	1130
765	24759	1098
766	24786	1066
767	24813	1033
768	24830	1000
769	24862	968
770	24910	936
771	24926	904
772	24945	871
773	24973	838
774	24991	806
775	25006	773
776	25020	740
777	25039	708
778	25080	676
779	25104	643
780	25139	611
781	25169	579
782	25201	547
783	25229	514
784	25251	482
785	25282	450
786	25302	417
787	25329	385
788	25345	353
789	25361	321
790	25377	288
791	25392	256
792	25436	224
793	25468	192
794	25494	160
795	25512	128
796	25529	96
797	25544	64
798	25566	31
799	25580	0
138
776	69352	2052
777	69464	1964
778	69573	1875
779	69745	1788
780	69851	1699
781	70168	1615
782	70263	1525
783	70432	1437
784	70622	1349
785	70716	1259
786	70788	1169
787	70832	1078
788	70877	988
789	70918	897
790	70945	807
791	70979	716
792	71020	626
793	71044	536
794	71079	447
795	71110	357
796	71149	267
797	71204	178
798	71249	89
799	71308	0
	0

